pos word,label
NN cove,anticipation|disgust|fear|joy
NN wop,anger
JJ late,sadness
JJ stifled,anger|fear|sadness
NN coup,anger|surprise
NN woe,disgust|fear|sadness
NN scoff,anger|disgust
JJ secular,anticipation
VB beg,sadness
VB sunk,disgust|fear|sadness
NN latrines,disgust
JJ convinced,trust
JJ insurmountable,fear|sadness
VB owing,anger|anticipation|disgust|fear|sadness|trust
VB rail,anger|anticipation
JJ demented,fear
JJ wonderful,joy|surprise|trust
NN wimp,disgust|fear
JJ vivid,joy
JJ unsurpassed,anticipation|fear|joy|trust
VB trembling,fear
NN tumor,fear
NN flu,fear
VB hanging,anger|disgust|fear|sadness
NN adultery,disgust|sadness
NN cremation,sadness
NN supremacy,anger|anticipation|fear|joy|surprise|trust
NN instability,disgust|fear
VB reject,anger|fear|sadness
NN sabotage,anger|disgust|fear|sadness|surprise
NN blue,sadness
NN heroic,joy|surprise|trust
NN authentication,trust
VB voyage,anticipation
VB raid,anger|fear|surprise
VB excluded,disgust|sadness
JJ excruciating,fear
NN designation,trust
VB contradict,anger
JJ heroic,joy|surprise|trust
NN tyrant,anger|disgust|fear|sadness
JJ outcast,disgust|fear|sadness
VB gain,anticipation|joy
NN communism,anger|fear|sadness
VB rags,disgust
VB assassinate,anger|fear
VB grit,trust
NN closeness,joy|trust
NN madman,anger|fear
NN anarchy,anger|fear
VB hulk,disgust
VB rage,anger
NN lagging,anger|anticipation|disgust|sadness
VB grin,anticipation|joy|surprise|trust
NN budget,trust
VB bless,anticipation|joy|trust
VB barter,trust
JJ wary,fear
VB beach,joy
JJ flaccid,sadness
VB poison,anger|disgust|fear|sadness
NN furnace,anger
VB gage,trust
JJ monochrome,disgust
NN whiteness,joy
NN faithful,trust
JJ broadside,anticipation
NN thumping,fear
NN stealth,surprise
NN apprentice,trust
JJ inexcusable,anger|disgust|sadness
NN sunset,anticipation
VB bombed,disgust
VB armor,fear|trust
NN falsehood,anger|trust
JJ pathetic,disgust|sadness
VB plan,anticipation
NN mouth,surprise
NN pedigree,trust
NN bankrupt,fear|sadness
NN dictum,trust
NN airs,disgust
JJ unattainable,anger|sadness
JJ sunset,anticipation
VB badge,trust
NN cocaine,sadness
VB afflict,fear|sadness
NN horror,anger|disgust|fear|sadness|surprise
NN nightmare,fear
VB rot,disgust|fear|sadness
VB elbow,anger
VB endangered,fear
VB meddle,anger
VB row,anger
NN marvel,surprise
NN covenant,trust
NN risk,anticipation|fear
NN slut,anger|disgust
VB rob,anger|disgust|fear|sadness
VB disregarded,disgust
JJ young,anticipation|joy|surprise
VB rack,sadness
JJ antisocial,anger|disgust|fear|sadness
NN misconception,anger|disgust|fear
NN slum,disgust
NN navigator,anticipation|trust
NN slur,anger|disgust|sadness
NN contamination,disgust
RB fully,trust
NN frailty,sadness
JJ secret,trust
JJ disreputable,anger|disgust|fear
NN slug,disgust
VB battered,fear|sadness
VB conceal,sadness
JJ perennial,trust
JJ thrilling,anticipation|joy|surprise
NN veal,sadness|trust
VB weeping,sadness
JJ depressing,disgust|sadness
VB crazed,anger|fear
NN treat,anger|anticipation|disgust|fear|joy|sadness|surprise|trust
JJ chaotic,anger
JJ stillborn,sadness
NN speck,disgust
NN marshal,trust
NN mausoleum,sadness
VB complicate,anger
VB knell,fear|sadness
JJ weighty,fear
NN scientist,anticipation|trust
VB huff,anger|disgust
NN revoke,anger|disgust|fear|sadness
JJ cheerful,joy|surprise
NN monster,fear
VB mutilated,disgust
NN bugle,anticipation
VB mildew,disgust
NN sarcasm,anger|disgust|sadness
VB prostitute,disgust
NN indenture,anger
RB scarcely,sadness
NN firmness,trust
VB tackle,anger|surprise
RB stealthily,surprise
JJ pained,fear|sadness
NN cardiomyopathy,fear|sadness
NN arbitrator,trust
NN spear,anger|anticipation|fear
NN encyclopedia,trust
JJ blessed,joy
NN abundance,anticipation|disgust|joy|trust
VB nest,trust
JJ recalcitrant,anger|disgust
VB grab,anger
NN labor,anticipation|joy|surprise|trust
VB level,trust
VB deteriorated,disgust|sadness
VB mutter,anger
JJ atrocious,anger|disgust
VB gray,disgust|sadness
JJ respectful,trust
NN grizzly,fear
NN resultant,anticipation
NN congress,disgust|trust
JJ fain,anticipation|joy|trust
NN blindness,sadness
NN laureate,trust
VB guarded,trust
VB clock,anticipation
JJ transitional,anticipation
NN jungle,fear
NN cannibal,disgust|fear
JJ litigious,anger|disgust
JJ harrowing,fear
NN sobriety,trust
VB intoxicated,disgust
NN pestilence,disgust|fear
JJ restrained,fear
NN eagerness,anticipation|joy|trust
JJ tributary,anticipation
NN jaundice,fear
JJ secluded,sadness
NN destruction,anger
NN plunder,anger|disgust|fear|sadness|surprise
NN politics,anger
NN wireless,anger|anticipation|surprise
JJ blanket,trust
NN reward,anticipation|joy|surprise|trust
JJ horrible,anger|disgust|fear
NN ineptitude,disgust|fear|sadness
RB dreadfully,disgust|fear|sadness|surprise
VB rebel,anger|fear
NN expectancy,anticipation
NN starvation,fear|sadness
NN effigy,anger
NN laser,trust
NN gag,disgust
JJ completing,anticipation|joy
VB mistrust,disgust|fear
NN penance,fear|sadness
NN nettle,anger|disgust
NN viper,fear
NN senate,trust
NN believing,trust
NN psychosis,anger|fear|sadness
JJ unlucky,anger|disgust|fear|sadness
JJ marvelous,joy
JJ morbid,sadness
JJ darling,joy|trust
JJ pensive,sadness
RB wonderfully,joy|surprise
VB annihilated,anger|fear|sadness
NN revolution,anger|anticipation|fear|sadness|surprise
VB intended,anticipation
JJ crippled,sadness
JJ endemic,disgust|fear|sadness
NN saint,anticipation|joy|surprise|trust
VB delegate,trust
JJ reproductive,joy
NN desolation,fear|sadness
NN slop,disgust
JJ unconscionable,disgust
JJ unmanageable,disgust
NN commodore,trust
JJ revolting,anger|disgust|fear
JJ crazed,anger|fear
NN biennial,anticipation
VB engulf,anticipation
JJ butcher,anger|disgust|fear
VB gasping,fear
VB explore,anticipation
VB yell,anger|fear|surprise
NN automatic,trust
VB menace,anger|fear
NN swine,disgust
VB yelp,anger|fear|surprise
JJ misrepresented,anger
JJ disingenuous,disgust
JJ melancholic,sadness
VB rue,sadness
VB pleased,joy
VB deceive,anger|disgust|sadness
NN riot,anger|fear
NN demon,anger|disgust|fear|sadness
NN jaws,fear
JJ compact,trust
NN slime,disgust
RB steady,surprise|trust
VB callous,anger|disgust
NN physicist,trust
JJ vehement,anger|fear
JJ ruinous,anger|disgust|fear|sadness
NN annihilation,anger|fear|sadness
NN gem,joy
VB shell,anger|fear|sadness|surprise
NN eminence,trust
NN caution,anger|anticipation|fear
NN revolt,anger|surprise
NN uneasiness,anticipation|sadness
JJ inimical,anger|sadness
JJ murderous,anger|disgust|fear|sadness|surprise
VB misguided,disgust
NN translation,trust
NN snort,sadness
NN success,anticipation|joy
NN kennel,sadness
NN flesh,disgust
NN hunter,anticipation|fear|sadness
NN helmet,fear
NN rifle,anger|fear
JJ precarious,anticipation|fear|sadness
JJ guilty,anger|sadness
JJ unjustifiable,anger|disgust|fear
VB surrendering,sadness
NN insult,anger|disgust|sadness|surprise
NN esteem,joy|sadness|trust
NN uprising,anger|anticipation|fear
JJ bastard,disgust|sadness
NN graduation,anticipation|fear|joy|surprise|trust
NN quote,anticipation|surprise
NN traitor,anger|disgust|fear|sadness
NN score,anticipation|joy|surprise
NN broil,anger
VB blues,fear|sadness
JJ respectable,trust
NN landmark,trust
VB credit,trust
NN scorn,anger
VB weeds,sadness
NN label,trust
VB revolting,anger|disgust|fear
NN matrimony,anticipation|joy|trust
NN poisoning,disgust
NN haggard,sadness
JJ suspicious,anger|anticipation
JJ answerable,trust
NN truth,trust
JJ cooperative,trust
RB sorely,sadness
NN blackness,fear|sadness
NN maintenance,trust
VB relapse,fear|sadness
NN hospital,fear|sadness|trust
VB forbidding,anger|fear
JJ dreadful,anger|anticipation|disgust|fear|sadness
NN confusion,anger|fear
VB blighted,disgust|sadness
JJ fraught,fear|sadness
NN revival,anticipation|joy|trust
VB scum,disgust
JJ alien,disgust|fear
NN vent,anger
VB appeal,anticipation
JJ punctual,anticipation|trust
VB asserting,trust
VB scourge,anger|fear|sadness
NN deformity,disgust|fear|sadness
VB premeditated,fear
VB belittle,anger|disgust|fear|sadness
NN anguish,anger|fear|sadness
NN crisp,trust
VB fatigued,sadness
JJ crusty,disgust
VB cheering,joy
NN exasperation,anger|disgust
NN trickery,anger|disgust|fear|sadness|surprise
VB words,anger
NN weeping,sadness
JJ lurid,disgust
VB predispose,anticipation
VB tabulate,anticipation
NN diarrhoea,disgust
NN blindfold,anticipation|fear|surprise
NN compassion,fear
VB foreclose,fear|sadness
VB rating,anger|fear|sadness
JJ unattractive,disgust|sadness
JJ responsive,anticipation|trust
NN symphony,anticipation|joy
VB engaging,joy|trust
NN mastery,anger|joy|trust
JJ negro,sadness
NN grave,fear|sadness
VB civilized,joy|trust
NN inheritance,anticipation|joy|surprise|trust
VB kennel,sadness
JJ maniac,anger|fear
JJ ill,anger|disgust|fear|sadness
NN economy,trust
RB astonishingly,surprise
NN menace,anger|fear
JJ nauseous,disgust|sadness
NN bridegroom,anticipation|joy|trust
NN disconnect,sadness
NN drab,sadness
JJ obliterate,anger|fear|sadness
VB accomplish,joy
VB rat,disgust|fear
NN advent,anticipation|joy|trust
NN TRUE,joy|trust
VB armored,fear
JJ civilized,joy|trust
NN conscience,trust
JJ genial,joy
NN beautification,joy|trust
VB disqualify,sadness
NN maniac,anger|fear
NN warfare,anger|fear|sadness
VB ram,anger|anticipation
NN persecution,anger|disgust|fear|sadness
JJ charmed,joy
JJ mutilated,disgust
RB purely,trust
NN veto,anger
VB enchanting,anticipation|joy
NN reunion,anticipation|trust
NN ferocity,anger
NN credit,trust
NN armaments,fear
NN cooperation,trust
NN abscess,sadness
JJ fighting,anger
NN horoscope,anticipation
VB enable,trust
NN abacus,trust
JJ radioactive,fear
VB wanting,sadness
NN fabrication,trust
NN prophecy,anticipation
VB subordinate,fear
VB covenant,trust
NN whip,anger
NN secret,trust
VB misunderstanding,anger|sadness
NN whim,anticipation|joy|surprise
NN emptiness,sadness
NN annoying,anger
NN sermon,trust
VB gutter,disgust
NN curse,anger|disgust|fear|sadness
JJ allied,trust
VB repent,fear
JJ unique,surprise
VB martyr,fear|sadness
NN criticism,anger|sadness
NN vulnerability,fear|sadness
NN medical,anticipation|fear|trust
VB feeling,anger|anticipation|disgust|fear|joy|sadness|surprise|trust
VB qualified,trust
JJ peaceful,anticipation|joy|surprise|trust
JJ incompatible,anger|disgust|sadness
VB ratify,trust
NN rapid,surprise
NN goo,disgust
JJ regulatory,fear
JJ fundamental,trust
NN warning,fear
VB simmering,anticipation
NN theory,anticipation|trust
VB avoiding,fear
VB prefer,trust
NN tornado,fear
NN bruise,anticipation
NN beating,anger|fear|sadness
NN embolism,fear|sadness
NN god,anticipation|fear|joy|trust
VB torment,anger|fear|sadness
NN dungeon,fear
NN gob,disgust
NN defect,anger
NN hanging,anger|disgust|fear|sadness
NN wench,anger|disgust
NN brimstone,anger|fear
NN importance,anticipation
NN grant,anticipation|joy|trust
NN predilection,anticipation
VB annihilate,anger|fear
VB love,joy
NN specter,fear|sadness
JJ greasy,disgust
NN gut,disgust
NN calculation,anticipation
RB bitterly,anger|disgust|sadness
NN gun,anger|fear
NN guarantee,trust
NN crime,anger
VB erupt,anger|surprise
RB sweet,anticipation|joy|surprise|trust
VB ail,sadness
NN physician,trust
JJ hopeless,fear|sadness
JJ indigent,sadness
JJ regrettable,sadness
NN ashes,sadness
NN intimidation,anger|fear
JJ ruthless,anger|disgust|fear
NN phantom,fear
VB worry,anticipation|fear|sadness
VB succeeding,anticipation|joy|trust
NN official,trust
VB praised,joy
VB drugged,sadness
JJ destructive,anger|disgust|fear
NN adoration,joy|trust
NN remedy,anticipation|joy|trust
NN mamma,trust
NN picnic,anticipation|joy|surprise|trust
VB cultivate,anticipation|trust
NN ordination,anticipation|joy|trust
NN lyre,joy
VB hindering,sadness
VB storming,anger
VB lose,anger|disgust|fear|sadness|surprise
NN demise,fear|sadness
NN cooperative,trust
VB lost,sadness
VB worm,anticipation|surprise
VB worn,sadness
NN amphetamines,disgust
JJ qualified,trust
JJ obvious,trust
VB foreseen,anticipation
NN retribution,anger|fear|sadness
VB revel,joy
JJ tripping,anger|sadness
VB sneaking,anticipation|fear|trust
NN battery,anger
VB clamor,anger|anticipation|disgust|surprise
JJ punitive,anger|fear|sadness
NN schizophrenia,anger|disgust|fear|sadness
JJ lettered,anticipation|trust
NN cemetery,fear|sadness
JJ weeping,sadness
VB cancel,sadness
VB haunted,fear|sadness
NN condescension,anger|disgust|sadness
VB content,joy|trust
JJ unbeaten,anticipation|joy|sadness|surprise
VB police,fear|trust
NN chancellor,trust
VB splash,surprise
NN trophy,anticipation|joy|surprise|trust
NN objection,anger
VB intimidate,fear
NN securities,trust
VB plummet,fear
NN palsy,disgust|fear|sadness
NN shoulder,trust
NN solidity,trust
NN shoot,anger|fear
NN jurisprudence,sadness
VB tripping,anger|sadness
JJ erratic,surprise
NN lottery,anticipation
VB fixed,trust
VB tickle,anticipation|joy|surprise|trust
JJ doomed,fear|sadness
NN watch,anticipation|fear
VB immerse,anticipation|fear|joy|surprise|trust
NN chicken,fear
NN thief,anger|disgust|fear|sadness|surprise
NN spat,anger
RB astray,fear
VB nestle,trust
NN barter,trust
VB deform,disgust
VB lettered,anticipation|trust
VB banished,anger|fear|sadness
VB burke,anger|disgust|fear|sadness
NN sewer,disgust
VB fits,anger
JJ rancid,disgust
NN stall,disgust
VB perpetuate,anticipation
NN weirdo,fear
VB bloated,disgust
NN entrails,disgust
NN corruption,disgust
NN affront,anger|disgust|fear|sadness|surprise
VB fire,fear
JJ troublesome,anger|fear
NN lunge,surprise
NN precursor,anticipation
NN termite,disgust
VB segregate,anger|disgust|sadness
JJ lethal,disgust|fear|sadness
JJ dissident,anger|fear
NN mange,disgust|fear
VB glut,disgust
NN babysitter,trust
NN stalk,fear
NN lawlessness,anger|fear
VB sonnet,joy|sadness
JJ distressed,fear
NN taunt,anger|fear|sadness
NN bomber,fear|sadness
JJ dandy,disgust
RB backwards,disgust
NN objective,anticipation|trust
NN electric,joy|surprise
VB sanctify,anticipation|joy|sadness|surprise|trust
NN rampage,anger|fear
VB fulfill,joy
VB fight,anger|fear
VB opposed,anger|fear
VB howl,anger|disgust|fear|sadness|surprise
NN stain,disgust
NN bombard,anger|fear
NN distress,anger|disgust|fear|sadness|surprise
NN intervention,sadness
NN complaint,anger
NN negative,sadness
VB exterminate,fear|sadness
NN matron,trust
NN irrational,disgust|fear
NN nurse,trust
NN leisure,anticipation|joy|surprise|trust
VB sour,disgust
JJ eventual,anticipation
NN cripple,fear|sadness
NN revolver,anger|fear|sadness
NN idolatry,disgust|fear
VB grounded,fear|sadness
JJ nonsensical,sadness
NN associate,trust
NN worsening,disgust|sadness
JJ fitting,anticipation|joy|trust
NN morbidity,anger|disgust|fear|sadness
NN shriek,anger|fear|sadness|surprise
VB revels,joy
NN thwart,surprise
JJ disturbed,anger|sadness
JJ loyal,fear|joy|surprise|trust
NN rigor,disgust|fear
NN corporation,trust
NN gladiator,fear
JJ pious,disgust|sadness|trust
NN howl,anger|disgust|fear|sadness|surprise
VB established,joy
NN lying,anger|disgust
NN gunpowder,fear
RB accidentally,surprise
NN diaper,disgust
JJ impossible,sadness
JJ rational,trust
NN lie,anger|disgust|sadness
NN gospel,trust
NN philosopher,trust
NN strip,sadness
NN sour,disgust
VB depressed,anger|fear|sadness
VB glow,anticipation|joy|trust
JJ radiant,joy
VB grated,anger
NN helper,trust
VB squelch,anger|disgust
VB entangled,anger|disgust|fear|sadness
NN cheering,joy
VB shudder,fear
NN backbone,anger|trust
RB bloody,anger|disgust|fear|sadness
JJ inconvenient,anger|disgust|sadness
NN prostitution,disgust|sadness
VB constitute,trust
NN perplexity,sadness
NN pound,anger
NN glut,disgust
NN loo,disgust
NN omnipotence,fear
VB fill,trust
NN khan,fear|trust
VB bruise,anticipation
NN shock,anger|fear|surprise
VB harassing,anger
RB powerful,anger|anticipation|disgust|fear|joy|trust
VB resigned,sadness
NN damage,anger|disgust|sadness
NN fire,fear
JJ delinquent,anger|disgust
NN injustice,anger
NN mother,anticipation|joy|sadness|trust
JJ crescendo,anticipation|joy|surprise|trust
VB pilot,trust
JJ unpredictable,surprise
NN fanfare,anticipation|joy|surprise
NN knickers,trust
VB related,trust
NN romance,anticipation|fear|joy|sadness|surprise|trust
JJ thorny,fear
VB soot,disgust
NN siren,fear
NN flatulence,disgust
VB hoot,anger|disgust
NN gambling,anticipation|surprise
VB blessed,joy
NN messenger,trust
NN fits,anger
NN schism,anger
NN defiance,anger|disgust|fear
NN remand,anger
VB hope,anticipation|joy|surprise|trust
NN chronicle,trust
NN cloudiness,fear
VB revere,anticipation|joy|trust
JJ unsettled,anger|disgust|fear
JJ stormy,fear
VB uprising,anger|anticipation|fear
JJ judicial,anticipation|trust
JJ magnificent,anticipation|joy|surprise|trust
VB doubt,fear|sadness|trust
VB hood,anger|disgust|fear
VB hamstring,anger|sadness
VB mob,anger|fear
VB manage,trust
JJ birch,anger|disgust|fear
NN jest,joy|surprise
NN notable,joy|trust
NN priest,trust
JJ ancestral,trust
RB scarce,fear|sadness
NN crap,disgust
NN mildew,disgust
NN authority,trust
JJ defective,disgust
NN civilization,trust
NN radiance,anticipation|joy|trust
NN simmering,anticipation
VB thirst,anticipation|sadness|surprise
JJ risky,anticipation|fear
NN jerk,anger|surprise
NN forbidding,anger|fear
JJ moral,anger|trust
NN cyanide,fear
JJ listless,sadness
NN applause,joy|surprise|trust
JJ godly,joy|trust
NN confinement,anger|fear|sadness
VB deteriorate,fear|sadness
NN negation,anger
JJ mathematical,trust
NN interviewer,fear
NN precedence,trust
VB scrimmage,surprise
VB troll,anger|fear
VB iron,trust
NN insolvency,fear|sadness|surprise
JJ poisonous,anger|disgust|fear|sadness
VB exalted,joy|trust
NN spokesman,trust
JJ missing,fear|sadness
JJ inexplicable,surprise
NN correspondence,anticipation
JJ sloppy,disgust
JJ regal,trust
NN duel,anger|anticipation|fear
NN supplication,trust
JJ cussed,anger
VB profane,anger
VB frank,trust
VB throb,fear|sadness
NN grumble,anger|disgust
JJ uninteresting,sadness
NN collateral,trust
NN cliff,fear
RB unquestionably,trust
NN moat,trust
VB soil,disgust
NN understanding,trust
JJ medical,anticipation|fear|trust
JJ crushing,anger|disgust|fear
JJ discriminating,disgust
VB embarrass,sadness
VB banish,anger|disgust|fear|sadness
VB budget,trust
NN moan,fear|sadness
JJ anticipatory,anticipation
JJ straightforward,trust
NN confessional,fear|trust
VB parting,sadness
RB intuitively,anticipation
NN waste,disgust
NN committal,sadness
NN disciple,trust
JJ nasty,anger|disgust|fear|sadness
VB spook,fear
VB wound,anger|fear|sadness
JJ musty,disgust
JJ indomitable,fear
NN caretaker,trust
NN oasis,anticipation|joy|trust
VB jump,joy
NN convent,trust
JJ joyful,joy|trust
VB razor,fear
JJ lowest,sadness
VB subvert,disgust|fear|sadness
JJ sweet,anticipation|joy|surprise|trust
JJ generous,joy|trust
JJ undiscovered,surprise
RB cruelly,anger|fear
VB trip,surprise
NN crew,trust
NN confession,anticipation|fear|sadness|surprise
NN witness,trust
VB inflict,anger|fear|sadness
VB exile,anger|fear|sadness
NN corse,sadness
VB carol,joy|trust
JJ disregarded,disgust
JJ frowning,anger|disgust|sadness
NN committee,trust
NN stagger,surprise
NN fellow,trust
VB witch,anger|disgust|fear
NN connoisseur,joy|trust
NN rejection,anger|disgust|fear|sadness
NN alerts,anticipation|fear|surprise
VB tantalizing,anticipation|joy|surprise
NN fright,fear|surprise
VB neighbor,anticipation|trust
JJ insane,anger|fear
VB crushing,anger|disgust|fear
VB burnt,disgust
JJ haggard,sadness
VB paddle,anticipation
VB fearing,fear
VB compost,disgust
JJ untoward,anger|disgust
VB suffocating,disgust|fear|sadness
JJ exciting,anticipation|joy|surprise
NN shining,anticipation|joy
VB enslaved,anger|disgust|fear|sadness
NN coach,trust
VB prejudice,anger
VB complain,anger|sadness
NN advocate,trust
NN notary,trust
NN coyote,fear
NN annulment,sadness
NN bloom,anticipation|joy|trust
VB frightened,fear|surprise
NN president,trust
VB tree,anger|anticipation|disgust|joy|surprise|trust
NN shove,anger
VB aching,sadness
VB haunt,fear
VB attempt,anticipation
NN attendant,trust
NN inclusion,trust
NN reversal,anger|disgust|surprise
NN cutting,anger|disgust|fear|sadness
JJ clumsy,disgust
NN rescue,anticipation|joy|surprise|trust
NN debauchery,disgust|fear
JJ antifungal,trust
JJ administrative,trust
JJ hardened,anger|disgust|fear
JJ prosperous,joy
NN dumps,anger|sadness
VB respect,anticipation|joy|trust
NN spit,disgust
JJ uphill,anticipation|fear
VB hoax,anger|disgust|sadness|surprise
NN shout,anger|surprise
NN ejaculation,anticipation|joy|surprise|trust
JJ accomplished,joy
VB measured,trust
JJ courageous,fear
JJ brotherly,anticipation|joy|trust
JJ amused,joy
NN tinsel,joy
JJ horrifying,disgust|fear|sadness
NN pillage,anger|disgust|fear
NN extermination,anger|fear
NN anxiety,anger|anticipation|fear|sadness
JJ warlike,anger|fear
VB clash,anger
NN gluttony,disgust
VB commission,trust
VB tarnish,disgust|sadness
VB orphan,fear|sadness
JJ disembodied,fear|sadness
NN accusation,anger|disgust
NN bondage,fear|sadness
JJ irate,anger
JJ disgraceful,anger|disgust
NN reassurance,trust
NN dynamic,surprise
NN rebellion,anger|disgust|fear
NN antiseptic,trust
NN start,anticipation
NN discoloration,disgust
VB madden,anger|fear
VB harass,anger|disgust
JJ decayed,disgust|sadness
NN flounder,fear|sadness
NN bureaucrat,disgust
VB disobey,anger|disgust
NN sprite,fear
NN seizure,fear
VB wrinkled,sadness
VB poisoning,disgust
JJ theocratic,anger|fear|sadness|trust
VB merge,anticipation
VB dirty,disgust
NN mum,fear
JJ moribund,sadness
NN astonishment,joy|surprise
VB beaming,anticipation|joy
NN rocket,anger
NN mug,anger|fear|sadness
JJ assured,trust
VB busted,anger|fear
VB understanding,trust
JJ discreet,anticipation
NN armament,anger|fear
NN friend,joy|trust
VB amusing,joy
NN pest,anger|disgust|fear
NN leukemia,anger|fear|sadness
VB glide,anticipation|joy
VB detonate,fear|surprise
NN kudos,joy
NN quack,disgust
JJ onerous,anger|sadness
JJ contentious,anger|disgust|fear
NN discrimination,anger|disgust|fear|sadness
JJ appalling,disgust|fear
NN twinkle,anticipation|joy
JJ wild,surprise
VB crash,fear|sadness|surprise
JJ confiscate,anger|sadness
NN plight,anticipation|disgust|fear|sadness
JJ haunted,fear|sadness
NN peri,surprise
NN numbness,sadness
VB grating,anger|disgust
VB blackmail,anger|fear
JJ vindictive,anger|disgust
VB gravitate,anticipation
VB surround,anticipation
JJ labored,sadness
JJ runaway,sadness
NN dread,anticipation|fear
VB referee,trust
JJ dark,sadness
NN passenger,anticipation
VB aggravated,anger
VB shining,anticipation|joy
JJ dismal,disgust|fear|sadness
JJ hollow,sadness
NN timid,fear|sadness
JJ lax,sadness
VB heighten,fear
VB surprised,surprise
JJ despairing,fear|sadness
VB devastating,anger|disgust|fear|sadness|trust
JJ elusive,surprise
JJ unrequited,sadness
VB poisoned,anger|disgust|fear|sadness
JJ silly,joy
NN hobo,sadness
NN tree,anger|anticipation|disgust|joy|surprise|trust
NN boomerang,anticipation|trust
NN ammonia,disgust
VB bombard,anger|fear
VB crave,anticipation
JJ reckless,anger|fear
JJ zealous,joy|trust
NN bridal,anticipation|joy|trust
JJ zany,surprise
JJ socialist,anger|disgust|fear|sadness
VB flood,fear
NN slaughterhouse,anger|disgust|fear|sadness
JJ downright,trust
VB patter,anger
NN hoax,anger|disgust|sadness|surprise
VB crawl,disgust
NN cheerfulness,anticipation|joy|trust
JJ livid,anger|disgust
VB ferment,anticipation
NN umpire,trust
JJ sonorous,joy
NN incendiary,anger|fear|surprise
JJ disappointing,sadness
NN meltdown,sadness
VB gorge,disgust
JJ salutary,joy|trust
NN accolade,anticipation|joy|surprise|trust
JJ weird,disgust
JJ betrothed,anticipation|joy|trust
JJ mutable,anticipation
JJ princely,anticipation|joy|surprise|trust
VB reappear,surprise
NN debenture,anticipation
NN competition,anticipation
RB TRUE,joy|trust
JJ interminable,anger|anticipation
RB suddenly,surprise
NN distrust,anger|disgust|fear
NN outsider,fear
NN infallibility,trust
JJ inept,anger|disgust
VB romance,anticipation|fear|joy|sadness|surprise|trust
RB ultimately,anticipation
JJ mystic,surprise
VB surprise,fear|joy|surprise
NN elevation,anticipation|fear|joy|trust
VB gratify,joy|surprise
VB enjoy,anticipation|joy|trust
RB downright,trust
VB obey,fear|trust
NN inauguration,anticipation|joy|trust
NN laugh,joy|surprise
NN classics,joy
JJ disastrous,anger|fear|sadness
JJ structural,trust
VB lie,anger|disgust|sadness
NN regret,sadness
JJ unintentional,surprise
NN absolution,joy|trust
JJ wretched,disgust|sadness
NN acrobat,fear|joy|trust
NN punishment,anger|disgust|fear
JJ volunteer,anticipation|fear|joy|trust
NN furor,anger
NN confirmation,trust
VB progress,anticipation|joy
NN ambush,anger|fear|surprise
JJ expedient,joy|trust
VB hating,anger
NN holiday,anticipation|joy
VB arouse,anticipation
VB completing,anticipation|joy
NN paucity,anger|disgust|sadness
NN voyage,anticipation
JJ hopeful,anticipation|joy|surprise|trust
NN trainer,trust
NN dolor,sadness
VB bewildered,fear|surprise
JJ disappointed,anger|disgust|sadness
NN playhouse,joy
VB craps,anticipation
VB convincing,trust
JJ delightful,anticipation|joy|trust
NN obit,sadness|surprise
NN perennial,trust
NN pontiff,trust
NN indoctrination,anger|fear
VB cramp,anticipation
VB spoil,disgust
NN devotional,trust
VB quiet,sadness
NN deportation,anger|fear|sadness
NN concord,trust
NN blight,disgust|fear|sadness
NN insufficiency,anger
JJ cheery,anticipation|joy
NN copycat,anger|disgust
NN rehabilitation,anticipation
NN glare,anger|fear
NN mob,anger|fear
JJ immature,anticipation
JJ patient,anticipation
NN dying,anger|disgust|fear|sadness
NN myopia,anger|sadness
VB lament,disgust|fear|sadness
NN registry,trust
RB clean,joy|trust
JJ ultimate,anticipation|sadness
NN perpetuity,anticipation|trust
NN football,anticipation|joy
VB excluding,sadness
JJ flattering,joy
NN unification,anticipation|joy|trust
VB exaggerate,anger
NN feces,disgust
JJ blue,sadness
NN shrink,fear|sadness
NN falter,fear
NN jury,trust
VB launch,anticipation
NN regatta,anticipation
JJ untrustworthy,anger
NN heyday,anticipation|joy|trust
NN iron,trust
NN treasure,anticipation|joy|trust
NN snarl,anger|disgust
VB misleading,anger|disgust
NN repellent,anger|disgust|fear
VB spanking,anger
JJ daft,disgust
NN scrub,disgust
NN abandonment,anger|fear|sadness|surprise
VB depressing,disgust|sadness
NN lesbian,disgust|sadness
NN repression,fear
VB clouded,sadness
NN protestant,fear
NN crusade,anger|fear
VB inspire,anticipation|joy|trust
JJ lower,sadness
VB elect,trust
JJ punished,anger|anticipation|disgust|fear|sadness
NN banger,anger|anticipation|fear|surprise
NN congregation,trust
JJ spanking,anger
NN innocent,trust
NN faculty,trust
NN hood,anger|disgust|fear
JJ killing,anger|fear|sadness
NN anarchist,anger|fear
NN doctor,trust
NN sally,surprise
NN anarchism,anger|fear
NN friendliness,joy|trust
VB harbor,trust
VB perishing,fear|sadness
NN warden,anger|fear|trust
JJ intelligent,trust
NN snare,fear
NN prowl,fear|surprise
VB divorce,anger|disgust|fear|sadness|surprise|trust
JJ rollicking,joy
NN wreck,anger|disgust|fear|sadness|surprise
NN vindication,anticipation|joy|trust
NN scare,anger|anticipation|fear|surprise
VB dismay,anger|anticipation|fear|sadness|surprise
JJ unequal,anger|disgust|fear|sadness
JJ toxic,disgust
VB challenge,anger|fear
NN prisoner,anger|disgust|fear|sadness
NN dependence,fear|sadness
VB inspired,joy|surprise|trust
